,id,income,age,experience,married,house_ownership,car_ownership,profession,city,state,current_job_years,current_house_years,risk_flag,risk_flag_prob
0,1,7393090,59,19,1,2,0,26,181,28,4,13,0,0.0
1,2,1215004,25,5,1,2,0,24,131,14,5,10,0,0.0
2,3,8901342,50,12,1,2,0,30,290,14,9,14,0,0.0
3,4,1944421,49,9,0,2,1,1,171,14,3,12,0,0.12823344808197126
4,5,13429,25,18,1,2,1,12,39,28,13,11,0,0.0
5,6,3437621,78,14,1,2,0,20,246,10,3,10,0,0.0
6,7,5101498,55,0,0,2,0,4,222,22,0,14,0,0.0
7,8,6716946,70,15,1,2,1,25,316,7,14,13,0,0.08395327575332173
8,9,8369802,43,7,1,2,0,42,19,6,6,13,0,0.0
9,10,9565457,65,5,1,2,1,21,208,0,3,12,0,0.05221499508588098
10,11,1960736,71,14,1,2,0,48,58,2,5,10,0,0.0
11,12,1964155,51,13,1,2,0,37,269,13,7,10,0,0.0
12,13,1330107,61,13,1,2,0,39,47,4,11,12,1,0.7531158511589362
13,14,668849,74,15,1,2,0,40,46,6,13,11,1,0.7525096350931431
14,15,7656053,55,20,1,2,1,21,299,22,14,14,0,0.06658556741583871
15,16,2575197,72,2,1,1,0,41,63,1,2,14,1,0.5206405620971197
16,17,9173731,47,3,1,2,0,36,115,25,3,12,0,0.0
17,18,2307642,72,12,1,2,0,7,64,25,12,13,0,0.0
18,19,750679,73,6,1,1,0,50,232,14,5,13,0,0.0
19,20,6543823,50,5,1,2,1,26,170,0,5,13,0,0.0
20,21,8435439,68,1,1,2,0,26,143,0,1,14,1,0.5926188907379702
21,22,4436504,56,9,1,2,1,23,286,0,9,13,0,0.0
22,23,1578395,45,3,1,1,0,43,57,28,3,14,0,0.20629239179085904
23,24,4353927,73,17,0,2,0,35,119,11,4,12,0,0.0
24,25,1975497,53,16,1,2,0,44,135,10,13,10,0,0.1701756195688259
25,26,1917641,48,3,1,2,1,19,279,20,3,14,0,0.0
26,27,8126503,21,6,1,2,0,44,302,20,6,12,0,0.2546483499943832
27,28,5185337,50,2,0,2,0,40,270,20,2,14,0,0.0
28,29,9073203,71,13,1,2,0,2,285,23,9,10,1,0.6935047855178155
29,30,9899664,45,5,1,2,0,43,57,28,5,10,0,0.0
30,31,7936046,35,11,1,2,1,23,290,14,10,14,0,0.0
31,32,4939158,65,12,1,2,0,35,153,0,7,14,1,0.5504948898049341
32,33,6451557,40,7,1,2,0,34,91,22,7,14,0,0.0
33,34,7066438,44,1,0,2,0,19,72,0,1,10,0,0.0
34,35,360873,56,3,1,2,0,27,112,13,3,12,0,0.14921688630934052
35,36,6176694,66,10,1,2,0,18,10,26,7,14,0,0.0
36,37,6100940,44,9,1,2,0,3,181,28,8,13,0,0.13201234363735273
37,38,2890690,24,19,1,2,1,11,235,22,13,13,0,0.0
38,39,7545693,50,14,1,2,0,21,281,9,4,14,0,0.0
39,40,6235492,68,6,1,0,0,12,132,2,6,12,0,0.0
40,41,2882498,34,0,0,2,0,9,95,25,0,13,0,0.0
41,42,579762,48,20,1,2,0,15,73,22,12,11,0,0.0
42,43,2541188,44,1,0,2,0,23,40,17,1,10,0,0.1500952939431812
43,44,4943616,70,12,1,0,0,0,291,22,12,12,0,0.0954967641762645
44,45,5648251,48,2,1,2,1,27,27,25,2,13,0,0.0
45,46,9205302,77,13,1,2,1,34,81,10,11,13,0,0.4480153905431352
46,47,1744080,41,14,1,2,1,10,203,1,12,13,0,0.0
47,48,5976201,37,12,1,2,0,15,21,0,4,11,0,0.048999121444953116
48,49,825676,30,9,1,2,1,40,106,11,9,13,0,0.07155232841273397
49,50,8382400,76,18,1,2,1,29,314,0,4,13,0,0.0
50,51,6164439,65,4,0,2,0,8,194,6,4,11,0,0.0
51,52,3458394,56,9,1,2,1,0,298,0,9,12,0,0.0
52,53,732443,65,4,1,2,0,37,150,7,4,14,0,0.0
53,54,5724223,47,0,1,2,0,30,239,11,0,12,0,0.0
54,55,743219,54,5,1,1,0,44,116,27,5,12,1,0.5434046795674353
55,56,8806392,61,5,0,2,0,43,102,10,5,13,0,0.0
56,57,1215004,25,5,1,2,0,24,131,14,5,10,0,0.0
57,58,9493120,63,19,1,2,0,28,204,22,12,11,0,0.0
58,59,4351817,31,3,0,2,0,28,286,0,3,11,1,0.5240661125559232
59,60,62058,66,16,1,2,1,29,73,22,13,11,0,0.1714727892324707
60,61,1506859,30,11,1,2,0,46,239,11,5,10,0,0.0
61,62,1117930,79,15,1,2,0,19,252,7,9,12,1,0.6810013079267591
62,63,599470,53,17,1,2,0,25,281,9,3,13,0,0.0
63,64,1759925,47,18,1,1,0,12,152,13,7,14,0,0.0
64,65,1077795,29,1,1,2,0,3,251,13,1,14,0,0.3139366138180266
65,66,7465121,37,2,1,2,1,34,272,28,2,12,0,0.0
66,67,2265601,72,16,1,2,0,12,66,2,5,12,0,0.0
67,68,3545959,28,6,1,2,0,32,183,11,6,13,0,0.0
68,69,9434706,30,9,1,2,0,42,268,11,9,13,0,0.0
69,70,4646074,77,16,1,2,0,43,111,1,6,13,0,0.0
70,71,235563,48,5,0,2,0,25,151,2,5,11,1,0.6283092771351346
71,72,8557058,33,2,1,2,0,29,81,10,2,14,1,0.7373811738998726
72,73,6165156,28,7,0,1,0,8,94,25,7,13,0,0.0
73,74,6619894,44,16,0,2,1,39,92,25,6,14,0,0.0
74,75,4732134,67,19,0,2,0,33,156,28,6,11,0,0.0
75,76,7171033,68,19,0,2,0,14,129,19,4,10,0,0.0
76,77,350406,40,13,1,0,0,47,157,25,8,13,0,0.15843627786291697
77,78,9984878,51,18,1,2,1,12,133,9,8,12,0,0.0
78,79,3611839,55,20,1,2,0,11,25,2,10,12,0,0.0
79,80,8998014,72,13,1,2,1,39,233,18,9,11,0,0.314906997864729
80,81,2024213,38,19,1,2,0,12,88,4,8,14,1,0.6889943197038437
81,82,6368882,46,7,1,2,0,1,72,0,3,10,0,0.0
82,83,5867006,21,3,1,2,0,49,191,23,3,11,0,0.0
83,84,7872490,27,0,1,1,1,50,26,22,0,10,0,0.11645556823608867
84,85,4618837,24,5,1,2,0,37,70,22,5,12,0,0.07324545600958138
85,86,4902965,32,7,0,2,0,12,204,22,7,11,0,0.0
86,87,7413713,71,5,1,2,1,31,297,22,5,13,0,0.0652846652104277
87,88,30515,73,12,1,2,0,37,97,6,3,11,0,0.0
88,89,3171323,21,17,1,2,0,29,267,8,5,12,0,0.0
